price,mileage
11900.0,250000
23900.0,150000
4500.0,150000
105.0,200000
5200.0,140000
12300.0,190000
105.0,200000
4900.0,200000
7500.0,180000
17500.0,190000
4500.0,170000
6900.0,180000
6900.0,190000
1.0,180000
6900.0,250000
6500.0,200000
6000.0,180000
9200.0,170000
11500.0,180000
16000.0,170000
4500.0,200000
16500.0,70000
5900.0,150000
7200.0,190000
13900.0,190000
17900.0,180000
4950.0,180000
4400.0,160000
8900.0,160000
13700.0,200000
5000.0,190000
9000.0,190000
11900.0,180000
6900.0,200000
4200.0,200000
7700.0,200000
14000.0,110000
6300.0,170000
5000.0,170000
7500.0,200000
3800.0,15000
